"transaction_id","product_category","quantity","price_per_unit","total_amount"
806,"Beauty",3,300,900
808,"Beauty",4,500,2000
814,"Clothing",1,500,500
816,"Beauty",2,500,1000
818,"Electronics",1,500,500
821,"Electronics",1,300,300
826,"Clothing",1,300,300
827,"Beauty",3,300,900
828,"Electronics",4,300,1200
832,"Beauty",4,500,2000
838,"Electronics",2,300,600
839,"Electronics",4,300,1200
842,"Clothing",2,300,600
843,"Beauty",3,500,1500
845,"Clothing",1,500,500
847,"Electronics",4,300,1200
850,"Beauty",2,500,1000
852,"Clothing",1,300,300
853,"Beauty",2,500,1000
859,"Electronics",3,500,1500
862,"Electronics",4,300,1200
864,"Electronics",1,500,500
865,"Clothing",1,300,300
867,"Electronics",1,500,500
868,"Electronics",1,300,300
869,"Beauty",3,500,1500
875,"Electronics",4,500,2000
880,"Beauty",2,500,1000
881,"Electronics",1,300,300
883,"Electronics",1,500,500
886,"Electronics",3,300,900
891,"Electronics",3,300,900
899,"Clothing",2,300,600
904,"Clothing",1,500,500
905,"Beauty",1,300,300
908,"Beauty",4,300,1200
909,"Electronics",1,300,300
911,"Electronics",3,300,900
914,"Electronics",1,500,500
923,"Beauty",3,300,900
925,"Electronics",1,300,300
927,"Electronics",4,500,2000
928,"Clothing",4,300,1200
934,"Beauty",1,500,500
937,"Beauty",1,500,500
939,"Electronics",1,300,300
942,"Clothing",3,500,1500
943,"Clothing",4,300,1200
946,"Electronics",4,500,2000
947,"Beauty",1,300,300
950,"Clothing",3,300,900
954,"Electronics",3,300,900
956,"Clothing",3,500,1500
964,"Clothing",3,300,900
966,"Electronics",2,500,1000
968,"Clothing",3,300,900
969,"Clothing",3,300,900
970,"Electronics",4,500,2000
976,"Beauty",2,300,600
983,"Clothing",1,300,300
984,"Clothing",1,500,500
986,"Clothing",2,500,1000
987,"Clothing",3,300,900
990,"Beauty",2,500,1000
994,"Beauty",2,500,1000
