"transaction_id","product_category","quantity","price_per_unit","total_amount"
362,"Clothing",1,25,25
363,"Beauty",1,25,25
364,"Beauty",1,500,500
365,"Clothing",1,300,300
366,"Clothing",2,50,100
367,"Electronics",1,50,50
370,"Electronics",2,30,60
371,"Beauty",1,25,25
373,"Beauty",2,300,600
375,"Clothing",1,50,50
376,"Beauty",1,30,30
378,"Beauty",1,300,300
379,"Clothing",1,25,25
380,"Electronics",2,300,600
382,"Clothing",2,500,1000
384,"Clothing",1,500,500
386,"Electronics",2,300,600
387,"Beauty",1,30,30
388,"Electronics",1,25,25
389,"Clothing",2,25,50
390,"Electronics",2,50,100
391,"Beauty",2,25,50
392,"Clothing",2,300,600
393,"Beauty",2,500,1000
394,"Clothing",1,500,500
395,"Electronics",2,500,1000
396,"Beauty",1,30,30
397,"Beauty",1,25,25
398,"Clothing",2,300,600
399,"Beauty",2,30,60
401,"Clothing",1,300,300
402,"Clothing",2,300,600
403,"Clothing",2,300,600
404,"Electronics",2,500,1000
408,"Beauty",1,500,500
410,"Clothing",2,50,100
415,"Clothing",2,30,60
418,"Electronics",2,500,1000
423,"Clothing",1,25,25
427,"Electronics",1,25,25
429,"Electronics",2,25,50
432,"Electronics",2,500,1000
434,"Electronics",2,25,50
438,"Clothing",1,30,30
440,"Clothing",2,300,600
443,"Clothing",2,300,600
445,"Electronics",1,300,300
446,"Electronics",1,50,50
448,"Beauty",2,30,60
450,"Beauty",2,25,50
451,"Electronics",1,30,30
453,"Clothing",2,500,1000
454,"Beauty",1,25,25
456,"Electronics",2,30,60
460,"Beauty",1,50,50
461,"Beauty",2,500,1000
464,"Electronics",2,300,600
468,"Electronics",1,25,25
470,"Clothing",2,500,1000
473,"Beauty",1,50,50
478,"Clothing",2,30,60
483,"Clothing",1,30,30
485,"Electronics",1,30,30
486,"Electronics",1,25,25
489,"Electronics",1,30,30
493,"Beauty",2,25,50
495,"Beauty",2,30,60
496,"Clothing",2,300,600
499,"Beauty",2,30,60
501,"Electronics",2,30,60
505,"Beauty",1,50,50
508,"Beauty",2,300,600
511,"Beauty",2,50,100
512,"Beauty",1,25,25
514,"Electronics",1,300,300
518,"Clothing",1,30,30
523,"Electronics",1,300,300
525,"Beauty",2,25,50
526,"Clothing",2,50,100
527,"Clothing",2,25,50
528,"Clothing",2,30,60
531,"Electronics",1,500,500
534,"Clothing",2,500,1000
537,"Beauty",1,500,500
539,"Beauty",1,500,500
541,"Beauty",1,500,500
542,"Beauty",1,50,50
543,"Beauty",2,300,600
544,"Electronics",1,25,25
545,"Clothing",2,25,50
548,"Clothing",2,30,60
549,"Beauty",2,50,100
555,"Beauty",1,300,300
556,"Electronics",1,50,50
558,"Clothing",1,25,25
560,"Electronics",1,50,50
562,"Electronics",2,25,50
563,"Clothing",2,30,60
564,"Electronics",2,50,100
565,"Beauty",2,30,60
566,"Clothing",1,30,30
568,"Electronics",1,300,300
570,"Clothing",1,500,500
571,"Electronics",1,50,50
573,"Beauty",2,30,60
574,"Electronics",2,25,50
575,"Clothing",2,50,100
579,"Electronics",1,30,30
581,"Beauty",2,30,60
585,"Clothing",1,25,25
586,"Electronics",1,50,50
588,"Electronics",2,30,60
589,"Beauty",2,500,1000
593,"Electronics",2,30,60
594,"Electronics",2,300,600
596,"Electronics",1,300,300
599,"Beauty",2,50,100
600,"Beauty",2,500,1000
601,"Clothing",1,30,30
602,"Electronics",1,300,300
605,"Electronics",2,500,1000
606,"Electronics",1,50,50
609,"Clothing",2,50,100
610,"Beauty",2,300,600
612,"Electronics",1,500,500
616,"Clothing",2,50,100
617,"Electronics",1,30,30
618,"Beauty",1,50,50
621,"Beauty",2,500,1000
625,"Clothing",1,300,300
627,"Clothing",1,50,50
629,"Electronics",2,25,50
630,"Clothing",2,50,100
637,"Clothing",2,300,600
638,"Electronics",1,500,500
641,"Electronics",1,300,300
649,"Clothing",2,300,600
650,"Electronics",1,30,30
652,"Beauty",2,50,100
655,"Clothing",1,500,500
657,"Clothing",1,25,25
658,"Clothing",1,25,25
659,"Electronics",1,30,30
660,"Beauty",2,500,1000
662,"Beauty",2,500,1000
665,"Clothing",1,50,50
667,"Electronics",1,500,500
670,"Beauty",1,30,30
672,"Beauty",2,50,100
674,"Clothing",1,300,300
675,"Clothing",2,30,60
681,"Electronics",2,30,60
683,"Beauty",2,500,1000
684,"Clothing",2,500,1000
685,"Electronics",2,25,50
687,"Electronics",1,300,300
689,"Electronics",2,50,100
692,"Clothing",2,50,100
694,"Electronics",2,25,50
697,"Clothing",1,500,500
698,"Electronics",1,300,300
701,"Beauty",2,30,60
702,"Clothing",2,300,600
703,"Electronics",2,50,100
705,"Electronics",2,25,50
707,"Clothing",1,500,500
709,"Electronics",2,500,1000
712,"Beauty",2,25,50
714,"Clothing",1,500,500
717,"Clothing",1,500,500
719,"Clothing",2,30,60
721,"Clothing",1,500,500
725,"Electronics",1,300,300
730,"Clothing",2,25,50
732,"Electronics",2,500,1000
733,"Beauty",1,30,30
734,"Clothing",1,30,30
737,"Clothing",1,50,50
738,"Clothing",2,50,100
739,"Beauty",1,25,25
741,"Clothing",1,300,300
744,"Electronics",1,25,25
745,"Beauty",2,50,100
747,"Beauty",1,30,30
749,"Beauty",1,30,30
751,"Clothing",2,25,50
752,"Clothing",2,50,100
753,"Clothing",1,30,30
759,"Electronics",2,50,100
760,"Beauty",1,500,500
761,"Clothing",1,500,500
762,"Electronics",2,25,50
763,"Clothing",2,25,50
764,"Clothing",1,25,25
770,"Clothing",1,50,50
771,"Electronics",2,25,50
772,"Electronics",1,30,30
774,"Clothing",2,25,50
779,"Electronics",2,500,1000
780,"Electronics",2,25,50
781,"Beauty",1,500,500
783,"Clothing",1,300,300
784,"Electronics",1,500,500
787,"Electronics",1,25,25
790,"Clothing",1,25,25
791,"Beauty",1,25,25
792,"Beauty",1,50,50
793,"Beauty",1,30,30
794,"Beauty",1,300,300
795,"Electronics",1,300,300
798,"Clothing",1,50,50
799,"Electronics",2,50,100
802,"Beauty",1,30,30
804,"Electronics",1,30,30
809,"Beauty",2,50,100
811,"Beauty",2,25,50
814,"Clothing",1,500,500
816,"Beauty",2,500,1000
818,"Electronics",1,500,500
819,"Beauty",2,50,100
821,"Electronics",1,300,300
823,"Electronics",2,50,100
825,"Beauty",1,25,25
826,"Clothing",1,300,300
834,"Beauty",2,30,60
836,"Clothing",1,50,50
838,"Electronics",2,300,600
840,"Clothing",2,25,50
842,"Clothing",2,300,600
845,"Clothing",1,500,500
846,"Beauty",1,50,50
849,"Clothing",2,25,50
850,"Beauty",2,500,1000
851,"Electronics",2,25,50
852,"Clothing",1,300,300
853,"Beauty",2,500,1000
854,"Clothing",1,50,50
855,"Beauty",1,25,25
857,"Electronics",2,25,50
858,"Electronics",2,50,100
863,"Electronics",2,25,50
864,"Electronics",1,500,500
865,"Clothing",1,300,300
866,"Electronics",1,50,50
867,"Electronics",1,500,500
868,"Electronics",1,300,300
871,"Beauty",2,30,60
874,"Beauty",1,30,30
877,"Clothing",1,25,25
878,"Clothing",1,30,30
879,"Clothing",1,30,30
880,"Beauty",2,500,1000
881,"Electronics",1,300,300
882,"Electronics",2,25,50
883,"Electronics",1,500,500
884,"Clothing",2,30,60
889,"Electronics",1,50,50
890,"Electronics",2,25,50
892,"Electronics",1,50,50
893,"Electronics",1,50,50
894,"Electronics",1,30,30
896,"Electronics",2,25,50
897,"Electronics",2,50,100
899,"Clothing",2,300,600
900,"Clothing",2,30,60
901,"Electronics",1,30,30
902,"Beauty",1,50,50
904,"Clothing",1,500,500
905,"Beauty",1,300,300
906,"Clothing",1,50,50
907,"Electronics",1,25,25
909,"Electronics",1,300,300
914,"Electronics",1,500,500
916,"Electronics",1,50,50
919,"Beauty",2,25,50
922,"Electronics",1,50,50
924,"Beauty",2,50,100
925,"Electronics",1,300,300
926,"Electronics",1,30,30
933,"Beauty",1,30,30
934,"Beauty",1,500,500
935,"Beauty",1,50,50
937,"Beauty",1,500,500
939,"Electronics",1,300,300
940,"Electronics",1,30,30
941,"Clothing",2,25,50
944,"Clothing",2,25,50
945,"Beauty",1,25,25
947,"Beauty",1,300,300
949,"Electronics",2,25,50
951,"Beauty",2,50,100
952,"Clothing",1,25,25
955,"Clothing",1,25,25
958,"Electronics",2,25,50
959,"Electronics",2,30,60
960,"Clothing",2,30,60
962,"Clothing",2,30,60
963,"Beauty",1,50,50
966,"Electronics",2,500,1000
967,"Beauty",1,25,25
973,"Clothing",1,50,50
974,"Beauty",1,30,30
976,"Beauty",2,300,600
979,"Beauty",1,25,25
981,"Electronics",2,30,60
983,"Clothing",1,300,300
984,"Clothing",1,500,500
985,"Electronics",2,25,50
986,"Clothing",2,500,1000
989,"Electronics",1,25,25
990,"Beauty",2,500,1000
991,"Clothing",2,50,100
992,"Electronics",2,30,60
994,"Beauty",2,500,1000
995,"Clothing",1,30,30
996,"Clothing",1,50,50
